Submission ID,Category,Term
15,Meaning,Meaningfulness
15,Meaning,Significance
15,Meaning,Mattering
15,Meaning,Purpose
15,Belonging,Social belonging
15,Belonging,Positive relationships
15,Belonging,Supportive relationships
15,Belonging,Relatedness
15,Belonging,Connection
15,Belonging,Dignity
15,Family,Family bonds
15,Family,Parenting
15,Family,Romance
15,Family,Partnering
15,Family,Intimacy
15,Family,Sex
